procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 485712 5871904 29517552 175799680    0    0     0   176 9021 13084  4  0 96  0  0	
 1  0 485712 5845400 29517552 175799744    0    0     0   463 4747 5415  1  0 99  0  0	
 2  0 485712 5845552 29517552 175799824    0    0     4   354 9123 14305  2  0 98  0  0	
 1  0 485712 5847284 29517552 175799952    0    0     0   251 4158 4921  0  0 99  0  0	
 0  0 485712 5839192 29517552 175800048    0    0     0   884 4174 5098  1  0 99  0  0	
 1  0 485712 5827388 29517552 175800064    0    0     0   468 9584 14593  2  0 97  0  0	
 1  0 485712 5827812 29517552 175800128    0    0     0   365 4227 5526  0  0 100  0  0	
 1  0 485712 5830360 29517552 175800176    0    0     0   258 9252 13511  4  0 96  0  0	
 1  0 485712 5761960 29517552 175800336    0    0     0   451 4369 4883  1  1 98  0  0	
 1  0 485712 5833932 29517552 175800448    0    0     4   698 4371 5175  1  0 99  0  0	
 1  0 485712 5836284 29517552 175800480    0    0     0   196 9159 14251  2  0 98  0  0	
 0  0 485712 5756848 29517552 175800544    0    0     4   436 4016 4925  1  1 99  0  0	
 0  0 485712 5757568 29517552 175800624    0    0     0   261 9564 14840  2  0 98  0  0	
 1  0 485712 5758792 29517552 175800784    0    0     0   464 4098 5105  1  0 99  0  0	
 1  0 485712 5758188 29517552 175800896    0    0     0   478 3412 4358  0  0 100  0  0	
 0  0 485712 5757492 29517552 175800896    0    0     4   206 8933 13019  4  0 96  0  0	
 1  0 485712 5756568 29517552 175800992    0    0     0   485 4183 5433  1  0 99  0  0	
 1  0 485712 5760844 29517552 175801056    0    0     0   454 9021 13703  2  0 98  0  0	
 1  0 485712 5769044 29517552 175801088    0    0     0   269 3757 4635  0  0 99  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 485712 5768352 29517552 175801248    0    0     0   700 3425 4399  0  0 100  0  0	
 1  0 485712 5754472 29517552 175801264    0    0     0   258 9606 14078  2  1 97  0  0	
 2  0 485712 5727232 29517552 175801312    0    0     0   368 4615 5164  2  0 98  0  0	
 0  0 485712 5756056 29517552 175801376    0    0     0   426 9413 12375  6  0 94  0  0	
 1  0 485712 5755984 29517552 175801536    0    0     0   405 3609 4491  0  0 100  0  0	
 1  0 485712 5754644 29517552 175801664    0    0    48   890 3361 4204  0  0 100  0  0	
 1  0 485712 5754212 29517552 175801696    0    0     0   334 8795 13452  2  0 98  0  0	
 0  0 485712 5753324 29517552 175801744    0    0     0   419 3992 5000  0  0 99  0  0	
 1  0 485712 5753800 29517552 175801808    0    0     0   284 9510 14341  2  0 98  0  0	
 1  0 485712 5752708 29517552 175801840    0    0     0   444 6244 8480  2  0 98  0  0	
 3  0 485712 5752660 29517552 175802016    0    0     0   873 5869 8430  1  0 99  0  0	
 1  0 485712 5752336 29517552 175802032    0    0     0   116 8794 12731  4  0 96  0  0	
 1  0 485712 5751264 29517552 175802096    0    0     4   462 3982 5077  1  0 99  0  0	
 3  0 485712 5746580 29517552 175802176    0    0     0   511 11636 17970  3  0 97  0  0	
 0  0 485712 5913152 29517552 175802320    0    0     0   345 4615 5056  0  1 99  0  0	
 2  0 485712 5913204 29517552 175802400    0    0     0   870 5815 8644  1  0 99  0  0	
 1  0 485712 5923216 29517552 175802432    0    0     0   366 9660 13631  2  1 97  0  0	
 1  0 485712 5914956 29517552 175802496    0    0     4   448 4825 5618  1  0 99  0  0	
 1  0 485712 5911576 29517552 175802560    0    0     0   339 12084 18604  5  0 95  0  0	
 2  0 485712 5872596 29517552 175802720    0    0     0   496 5178 5251  1  1 99  0  0	
 1  0 485712 5859656 29517552 175802816    0    0     0   650 6152 8864  1  0 99  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 485712 5854768 29517552 175802864    0    0     0   380 9613 12928  3  1 96  0  0	
 1  0 485712 5855000 29517552 175802912    0    0     0   550 4191 5089  1  0 99  0  0	
 1  0 485712 5802676 29517552 175803024    0    0     7   360 12879 17678  5  1 94  0  0	
