procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 485444 6434948 29517580 175839568    0    0     0   323 19469 18107 10  2 88  0  0	
 1  0 485444 6435136 29517580 175839616    0    0     0   238 21146 22342 12  2 86  0  0	
 7  0 485444 6435284 29517580 175839632    0    0     0   294 16680 15782  9  2 90  0  0	
 1  0 485444 6436984 29517580 175839696    0    0     0   446 17660 16046  9  2 89  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 485444 6436148 29517580 175839792    0    0     0   830 22772 25097 11  2 87  0  0	
 4  0 485444 6434036 29517580 175839952    0    0     0   384 15437 15211  8  1 91  0  0	
 5  0 485444 6433988 29517580 175840016    0    0     0   272 19757 22115 11  1 88  0  0	
 3  0 485444 6436828 29517580 175840032    0    0     0   382 15552 15006  7  2 91  0  0	
 7  0 485444 6456084 29517580 175840096    0    0     0   383 18226 16255  9  2 89  0  0	
 4  0 485444 6462864 29517580 175829216    0    0     0 14510 24762 28409 13  3 84  0  0	
 6  0 485444 6471392 29517580 175820176    0    0     0   380 16373 14960  8  2 90  0  0	
 3  0 485444 6404980 29517580 175820240    0    0     0   312 22387 24207 10  2 88  0  0	
 4  0 485444 6388788 29517580 175820272    0    0     0   144 18040 16182 10  2 88  0  0	
 3  0 485444 6390996 29517580 175820336    0    0     0   320 14385 14420  7  1 92  0  0	
11  0 485444 6390188 29517580 175820400    0    0     0   784 23399 25612 14  2 85  0  0	
 9  0 485444 6386752 29517580 175820448    0    0     0   294 17774 15549  9  2 89  0  0	
 5  0 485444 6391376 29517580 175820640    0    0     0   288 23166 25023 11  2 87  0  0	
 2  0 485444 6393008 29517580 175820656    0    0     0   358 15792 14738  8  2 90  0  0	
 3  0 485444 6393068 29517580 175820720    0    0     0   377 15354 14560  8  2 90  0  0	
 1  0 485444 6395716 29517580 175820800    0    0     0   720 21728 24210 11  2 87  0  0	
 3  0 485444 6396584 29517580 175820944    0    0     0   292 18320 16581 10  2 89  0  0	
 6  0 485444 6395764 29517580 175821056    0    0     0   406 22544 24815 10  2 88  0  0	
 6  0 485444 6403276 29517580 175821088    0    0     0   334 18485 16283 11  2 87  0  0	
 3  0 485444 6396520 29517580 175821152    0    0     0   373 15283 15579  7  1 91  0  0	
 4  0 485444 6394012 29517580 175821232    0    0     0   236 22881 25230 11  2 87  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 485444 6388372 29517580 175821424    0    0     0   636 18392 16328  9  2 88  0  0	
 4  0 485444 6370752 29517580 175821520    0    0     0   222 23045 24134 12  2 86  0  0	
 1  0 485444 6367956 29517580 175821552    0    0     0   244 18486 17480  9  2 89  0  0	
 4  0 485444 6372204 29517580 175821632    0    0     0   398 17687 16315  9  2 89  0  0	
 6  0 485444 6370168 29517580 175821712    0    0     0   227 21996 24110 12  2 87  0  0	
 7  0 485444 6371936 29517580 175821760    0    0     0   583 16573 15213  9  2 89  0  0	
 5  0 485444 6373832 29517580 175821920    0    0     0   234 21873 23594 11  2 88  0  0	
 3  0 485444 6366316 29517580 175821920    0    0     0   298 14672 13196  7  2 91  0  0	
 5  0 485444 6364200 29517584 175822000    0    0     0   519 21068 18994 12  2 86  0  0	
