procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  25456 1330044 156928 2927316    0    0     0     0  334  702  1  1 98  0
 0  0  25456 1330044 156928 2927316    0    0     0     0  409  775  3  3 94  0
 0  0  25456 1329920 156928 2927316    0    0     0     6  344  761  0  0 100  0
 0  0  25456 1329828 156928 2927316    0    0     0     8  338  740  1  0 99  0
 0  0  25456 1329796 156928 2927316    0    0     0     0  349  667  1  0 99  0
 0  0  25456 1330416 156928 2927316    0    0     0    10  308  690  0  0 99  0
 0  0  25456 1330168 156928 2927316    0    0     0     0  324  707  0  0 99  0
 0  0  25456 1329756 156928 2927320    0    0     0     0  497  906  1  0 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0  25456 1329632 156928 2927320    0    0     0    12  287  613  0  0 100  0
 0  0  25456 1329508 156928 2927324    0    0     0     0  418  822  1  0 99  0
 0  0  25456 1329352 156928 2927324    0    0     0    14  333  705  0  0 100  0
 0  0  25456 1329732 156928 2927324    0    0     0     6  359  740  0  0 99  0
 0  0  25456 1328344 156928 2927328    0    0     0     0  408  814  1  1 99  0
 0  0  25456 1328096 156928 2927332    0    0     0     0  321  619  0  0 99  0
 0  0  25456 1327940 156928 2927332    0    0     0    24  358  739  0  0 99  0
 0  0  25456 1327816 156928 2927332    0    0     0    14  324  696  0  0 100  0
 0  0  25456 1328468 156928 2927328    0    0     0     0  539  909  4  4 93  0
 0  0  25456 1329524 156928 2927328    0    0     0    22  360  741  1  0 99  0
 0  0  25456 1329640 156928 2927328    0    0     0     6  345  662  1  0 99  0
 0  0  25456 1329516 156928 2927328    0    0     0     0  360  752  0  0 99  0
 0  0  25456 1329392 156928 2927328    0    0     0    22  317  674  0  0 99  0
 0  0  25456 1329300 156928 2927328    0    0     0     0  352  741  0  0 99  0
 0  0  25456 1329332 156928 2927332    0    0     0     0  442  819  1  0 99  0
 0  0  25456 1329176 156928 2927332    0    0     0    24  298  604  0  0 100  0
 0  0  25456 1329672 156928 2927332    0    0     0     0  348  708  1  0 99  0
 0  0  25456 1329548 156928 2927332    0    0     0     0  335  698  1  0 99  0
 0  0  25456 1329548 156928 2927332    0    0     0     6  358  730  0  0 99  0
 0  0  25456 1329424 156928 2927332    0    0     0     0  385  739  1  0 99  0
 0  0  25456 1329268 156928 2927332    0    0     0    36  342  654  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  25456 1329176 156928 2927336    0    0     0     8  354  688  1  0 99  0
 0  0  25456 1329548 156928 2927336    0    0     0     0  331  682  0  0 100  0
 0  0  25456 1329392 156928 2927336    0    0     0     0  500  840  4  3 93  0
 0  0  25456 1329392 156928 2927336    0    0     0     6  364  716  0  1 99  0
 0  0  25456 1329144 156928 2927336    0    0     0    16  372  685  1  0 99  0
 0  0  25456 1329020 156928 2927336    0    0     0     0  360  706  1  0 99  0
 0  0  25456 1329020 156928 2927336    0    0     0    18  317  695  0  0 100  0
 0  0  25456 1329268 156928 2927336    0    0     0     0  337  698  1  0 99  0
 0  0  25456 1329076 156928 2927340    0    0     0     0  490  869  1  0 99  0
 0  0  25456 1329108 156928 2927340    0    0     0    16  303  611  0  0 100  0
 0  0  25456 1328860 156928 2927340    0    0     0     0  347  727  1  0 99  0
 0  0  25456 1328868 156928 2927340    0    0     0     0  320  668  0  0 99  0
 0  0  25456 1328744 156928 2927340    0    0     0     6  350  702  1  0 99  0
 0  0  25456 1326808 156928 2927344    0    0     0     0  408  842  1  0 99  0
 0  0  25456 1326704 156928 2927348    0    0     0     0  323  625  1  0 99  0
 0  0  25456 1326704 156928 2927348    0    0     0    24  365  721  0  0 99  0
 0  0  25456 1326704 156928 2927348    0    0     0    24  330  696  0  0 99  0
 0  0  25456 1327392 156928 2927348    0    0     0     0  462  925  4  4 93  0
 0  0  25456 1327440 156928 2927344    0    0     0    24  360  707  0  0 99  0
 0  0  25456 1327440 156928 2927344    0    0     0     0  340  659  0  0 99  0
 0  0  25456 1327844 156928 2927344    0    0     0     0  363  746  1  0 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  25456 1327812 156928 2927344    0    0     0    20  329  703  0  0 100  0
 0  0  25456 1327812 156928 2927344    0    0     0     0  354  733  0  0 99  0
 0  0  25456 1327812 156928 2927348    0    0     0     0  416  721  0  0 99  0
 0  0  25456 1327812 156928 2927348    0    0     0    34  332  700  1  0 99  0
 0  0  25456 1327844 156928 2927348    0    0     0     0  352  707  1  0 99  0
 0  0  25456 1327844 156928 2927348    0    0     0    10  326  696  0  0 99  0
 0  0  25456 1328188 156928 2927348    0    0     0     0  333  704  0  0 100  0
 0  0  25456 1328308 156928 2927352    0    0     0     0  321  622  0  0 100  0
 0  0  25456 1328184 156928 2927352    0    0     0    10  343  729  1  0 99  0
 0  0  25456 1328184 156928 2927356    0    0     0     0  370  730  1  0 99  0
 0  0  25456 1327936 156928 2927356    0    0     0     0  316  680  1  0 99  0
 1  0  25456 1327688 156928 2927356    0    0     0     8  366  715  2  1 97  0
 0  0  25456 1327688 156928 2927356    0    0     0     0  404  683  2  3 96  0
 0  0  25456 1328092 156928 2927356    0    0     0    24  357  728  1  0 99  0
 0  0  25456 1328000 156928 2927356    0    0     0     8  351  700  1  0 99  0
 0  0  25456 1327908 156928 2927356    0    0     0     0  353  714  1  0 99  0
 0  0  25456 1327876 156928 2927356    0    0     0     0  327  695  1  0 99  0
 0  0  25456 1327528 156928 2927360    0    0     0    12  446  749  1  0 99  0
 0  0  25456 1327404 156928 2927360    0    0     0    20  329  688  1  0 99  0
 0  0  25456 1327620 156928 2927360    0    0     0     0  344  692  1  0 99  0
 0  0  25456 1327536 156928 2927360    0    0     0    12  327  694  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0  25456 1327536 156928 2927360    0    0     0     0  365  731  1  0 99  0
 0  0  25456 1326164 156928 2927364    0    0     0     0  383  776  0  0 99  0
 0  0  25456 1325776 156928 2927372    0    0     0    34  351  722  1  0 99  0
 0  0  25456 1325620 156928 2927372    0    0     0     0  353  710  1  0 99  0
 0  0  25456 1325992 156928 2927372    0    0     0     4  310  679  0  0 100  0
 0  0  25456 1326628 156928 2927368    0    0     0    14  339  724  1  0 99  0
 0  0  25456 1326636 156928 2927368    0    0     0     0  524  745  4  4 93  0
 0  0  25456 1326636 156928 2927368    0    0     0     0  337  698  1  0 99  0
 0  0  25456 1326512 156928 2927368    0    0     0    20  377  731  1  0 99  0
 0  0  25456 1326512 156928 2927368    0    0     0    32  335  721  0  0 100  0
 0  0  25456 1327232 156928 2927368    0    0     0     0  394  768  1  0 99  0
 0  0  25456 1327420 156928 2927372    0    0     0    10  450  776  0  0 99  0
 0  0  25456 1327296 156928 2927372    0    0     0    10  323  704  0  0 100  0
 0  0  25456 1327204 156928 2927376    0    0     0     0  360  715  1  0 99  0
 0  0  25456 1326956 156928 2927376    0    0     0    38  329  720  0  0 100  0
 0  0  25456 1326956 156928 2927376    0    0     0     0  335  705  1  0 99  0
 0  0  25456 1326956 156928 2927376    0    0     0     0  349  638  0  0 100  0
 0  0  25456 1327576 156928 2927376    0    0     0    24  341  744  0  0 99  0
 0  0  25456 1327576 156928 2927376    0    0     0     0  353  738  0  0 100  0
 0  0  25456 1327420 156928 2927376    0    0     0     8  328  689  1  0 99  0
 0  0  25456 1327296 156928 2927376    0    0     0     0  326  730  0  0 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0  25456 1327172 156928 2927376    0    0     0     0  475  708  3  3 94  0
 0  0  25456 1326892 156928 2927376    0    0     0     6  341  726  0  0 99  0
 0  0  25456 1327264 156928 2927376    0    0     0     0  359  735  1  0 99  0
 0  0  25456 1327264 156928 2927376    0    0     0     0  343  723  1  0 99  0
 1  0  25456 1327264 156928 2927376    0    0     0     6  333  708  0  0 99  0
 0  0  25456 1327040 156928 2927380    0    0     0     0  452  765  1  0 99  0
 0  0  25456 1326916 156928 2927380    0    0     0    12  326  703  1  0 99  0
 0  0  25456 1326792 156928 2927380    0    0     0    18  384  755  1  0 99  0
